experiment_id,well,job_hash,optuna_trial_number,val_smape_agg,val_smape_cum,architecture_name,feature_kind,use_known_good,data_sample,lag_window,horizon,epochs,patience,batch_size,learning_rate,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,band,show_components,seed,ensemble_models,physics_strategy,trend_degree,architecture_profile,profile_group,campaign,dataset,architecture,val_smape_cum_norm,val_smape_agg_norm,weighted_score
UNISIM_IV_P13_Seq2Trend_trial_127,P13,70f78c1033ca1c218b5bdbcf86c3dc2b,127,5.627418563647705,0.7483042425610297,Seq2Trend,Normal,False,0.99,300,300,200,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,2,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.5625,0.29194444444444445,1.708888888888889
UNISIM_IV_P13_Seq2Trend_trial_181,P13,8c310f5b24e2cd77a2f85a06ce195efd,181,5.191100265077009,0.148293596757141,Seq2Trend,Normal,False,0.01,300,300,50,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,2,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.10222222222222223,0.18444444444444444,0.5733333333333334
UNISIM_IV_P13_Seq2Trend_trial_183,P13,12c840e8c8033e0c4d4e0f40a9c799cf,183,5.191100265077009,0.148293596757141,Seq2Trend,Normal,False,0.01,300,300,50,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,2,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.10222222222222223,0.18444444444444444,0.5733333333333334
UNISIM_IV_P13_Seq2Trend_trial_220,P13,3a96f1e4ada28a3ecbeb8204e5a616ed,220,5.191100265077009,0.148293596757141,Seq2Trend,Normal,False,0.01,300,300,50,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,2,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.10222222222222223,0.18444444444444444,0.5733333333333334
UNISIM_IV_P13_Seq2Trend_trial_184,P13,8a1dda1349d42ef91f48d63d69310ca9,184,5.191100265077009,0.148293596757141,Seq2Trend,Normal,False,0.01,300,300,50,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,2,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.10222222222222223,0.18444444444444444,0.5733333333333334
UNISIM_IV_P13_Seq2Trend_trial_210,P13,33df702e818a8efe89f2a4d79535907b,210,5.191100265077009,0.148293596757141,Seq2Trend,Normal,False,0.01,300,300,50,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,2,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.10222222222222223,0.18444444444444444,0.5733333333333334
UNISIM_IV_P13_Seq2Trend_trial_223,P13,cd0fe01938ced89f661b9c2f06dac759,223,5.191100265077009,0.148293596757141,Seq2Trend,Normal,False,0.01,300,300,50,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,2,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.10222222222222223,0.18444444444444444,0.5733333333333334
UNISIM_IV_P13_Seq2Trend_trial_192,P13,29cf7c80f35a4035a0bacb5232570f47,192,5.191100265077009,0.148293596757141,Seq2Trend,Normal,False,0.01,300,300,50,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,2,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.10222222222222223,0.18444444444444444,0.5733333333333334
UNISIM_IV_P13_Seq2Trend_trial_236,P13,0d5b2e268c1def2ffe6e6b2903732827,236,5.191100265077009,0.148293596757141,Seq2Trend,Normal,False,0.01,300,300,50,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,2,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.10222222222222223,0.18444444444444444,0.5733333333333334
UNISIM_IV_P13_Seq2Trend_trial_187,P13,d518c51a4281ec0eb6e0ab1ff7ac150d,187,5.191100265077009,0.148293596757141,Seq2Trend,Normal,False,0.01,300,300,50,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,2,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.10222222222222223,0.18444444444444444,0.5733333333333334
UNISIM_IV_P13_Seq2Trend_trial_237,P13,bf49973fb181b8dedb0869497c82897d,237,5.191100265077009,0.148293596757141,Seq2Trend,Normal,False,0.01,300,300,50,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,2,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.10222222222222223,0.18444444444444444,0.5733333333333334
UNISIM_IV_P13_Seq2Trend_trial_213,P13,f21d043c5b757cc22aaa1b91fed4ab76,213,5.191100265077009,0.148293596757141,Seq2Trend,Normal,False,0.01,300,300,50,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,2,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.10222222222222223,0.18444444444444444,0.5733333333333334
UNISIM_IV_P13_Seq2Trend_trial_168,P13,aa44daaf161ee37dfb11b0db04c2e991,168,5.191100265077009,0.148293596757141,Seq2Trend,Normal,False,0.01,300,300,50,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,2,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.10222222222222223,0.18444444444444444,0.5733333333333334
